End of video
         741406 function calls (738711 primitive calls) in 49.104 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
       12    0.000    0.000    0.000    0.000 Robot.py:89(moveMeat)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
       17    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       27    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        1    0.000    0.000    0.003    0.003 financial.py:1(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 sre_compile.py:62(<dictcomp>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
       67    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       62    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
       74    0.000    0.000    0.000    0.000 sre_constants.py:57(__new__)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
      122    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      362    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
    21/16    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       26    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
       64    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      280    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       99    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.007    0.007 _internal.py:1(<module>)
       54    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       67    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        5    0.000    0.000    0.000    0.000 enum.py:505(_find_new_)
       54    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
